B01083,56,0,0,John 8,,Ioan 8
B01083,58,0,0,John 13,,Ioan 13
B01083,58,1,0,Galatians 5,,Gala 5
B01083,70,0,0,Exodus 32,,Exo 32
B01083,73,0,0,Kings 4.30,,4 Reg 4 30
B01083,74,0,0,Kings 4.20,,4 Reg 4 20
B01083,87,0,0,John 6,,Ioh 6
B01083,88,0,0,Matthew 22,,Math 22
B01083,93,0,0,Ezekiel 18,,Eze 18
B01083,94,0,0,Ecclesiastes 5,,Eccl 5
B01083,94,0,1,Ecclesiastes 19,,Eccl 19
B01083,94,0,2,Genesis 6; Genesis 19,,Ge 6 & 19
B01083,94,0,3,Numbers 14,,Nume 14
B01083,98,0,0,2 Corinthians 23,,2 Cor 23
B01083,98,3,0,Psalms 1,,Psal 1
B01083,100,0,0,Psalms 67,,Psalm 67
B01083,103,0,0,Mark 16,,Mar 16
B01083,103,1,0,Romans 1,,Rom 1
B01083,103,2,0,Hebrews 3,,Heb 3
B01083,103,2,1,Hebrews 6,,Heb 6
B01083,103,3,0,Genesis 2.4,,Gen 2 4
B01083,103,3,1,Judith 1^,,Iudic 1^
B01083,103,3,2,Kings 31.4,,Reg 31 4
B01083,103,3,3,Kings 19,,4 Reg 19
B01083,103,3,4,Genesis 19,,Gen 19
B01083,103,3,5,Numbers 16,,Num 16
B01083,104,0,0,Acts 1,,Act 1
B01083,110,0,0,Revelation 22,,Apoc 22
B01083,110,1,0,Matthew 25,,Math 25
B01083,115,0,0,Romans 8,,Rom 8
B01083,116,0,0,Mark 16,,Marc 16
B01083,117,0,0,Ephesians 1,,Eph 1
B01083,129,0,0,Romans 1,,Rom 1
B01083,133,0,0,1 John 1,,1 Ioan 1
B01083,133,1,0,John 8,,Ioan 8
B01083,134,0,0,Psalms 5,,Psal 5
B01083,147,0,0,Galatians 4,,Gala 4
B01083,147,1,0,Galatians ^,,Gal ^
B01083,150,0,0,Isaiah 53,,Esa 53
B01083,159,0,0,Galatians ^,,Gala ^
B01083,161,0,0,Mark 10,,Mar 10
B01083,161,0,1,Exodus 20,,Exo 20
B01083,161,1,0,Hebrews 13,,Heb 13
B01083,161,2,0,Hebrews 13,,Heb 13
B01083,163,0,0,Thessalonians 4,,Tess 4
B01083,165,0,0,Revelation ^,,Apoc ^
B01083,173,0,0,Romans 6,,Rom 6
B01083,177,0,0,Psalms ^^,,Psal ^^
B01083,180,0,0,Joel 2,,Ioel 2
B01083,192,0,0,Thessalonians 1,,Tess 1
B01083,203,0,0,Romans 13,,Rom 13
B01083,208,0,0,Matthew 9,,Math 9
